the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.76022117562405 41.89497639068477),400127,1904840.45019,1140285.36426,Options,HS,"10, 11, 12","5352 W CHICAGO AVE, 60651",YCCS - AUSTIN CAREER
POINT (-87.72366217143608 41.86494335189345),400128,1893965.06479,1150316.69262,Options,HS,"10, 11, 12","1231 S PULASKI RD, 60623",YCCS - CCA ACADEMY
POINT (-87.61584209881255 41.77416954786256),400129,1861114.50746,1179961.87972,Options,HS,"10, 11, 12","6620 S DR MARTIN LUTHER KING JR DR, 60637",YCCS - PROGRESSIVE LEADERSHIP
POINT (-87.64173118629225 41.751377111833904),400130,1852751.27779,1172966.78446,Options,HS,"10, 11, 12","7836 S UNION AVE, 60620",YCCS - YOUTH DEVELOPMENT
POINT (-87.69600602220713 41.90284969724916),400131,1907832.80805,1157747.32704,Options,HS,"10, 11, 12","2739 W DIVISION ST, 60622",YCCS - CAMPOS
POINT (-87.62773414585837 41.88304717157979),400133,1900762.24083,1176392.17558,Options,HS,"10, 11, 12","17 N. STATE ST., 60602",YCCS - INNOVATIONS
POINT (-87.6448879754817 41.85720785596084),400134,1891308.49366,1171796.49612,Options,HS,"10, 11, 12","1814 S UNION AVE, 60616",YCCS - ADDAMS
POINT (-87.69543001380885 41.85466465548888),400135,1890275.41173,1158034.63749,Options,HS,"10, 11, 12","2001 S CALIFORNIA AVE, 60608",YCCS - LATINO YOUTH
POINT (-87.592333202492 41.71292209989564),400136,1838850.86465,1186566.68476,Options,HS,"10, 11","10001 S WOODLAWN AVE, 60628",YCCS - OLIVE HARVEY
POINT (-87.59933993996285 41.809695495557065),400137,1874097.93523,1184352.71707,Options,HS,"9, 10, 11, 12","1060 E 47TH ST, 60653",LITTLE BLACK PEARL HS
POINT (-87.57849166954297 41.746286569880006),400139,1851041.38062,1190239.27157,Options,HS,"10, 11","8164 S SOUTH CHICAGO AVE, 60617",YCCS - SULLIVAN
POINT (-87.65923928943083 41.965294816271395),400141,1930664.46186,1167577.33461,Options,HS,"10, 11, 12","1145 W WILSON AVE, 60640",YCCS - TRUMAN
